feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target_0,target_1,target_2,sample_id
0.1106972,-0.8917394,-0.5132059,0.14838336,-0.058184154,0.03741326,-0.13929811,0.47407636,0.018063108,-0.17717527,-0.29324248,0.71522456,0.27280778,-0.2744484,0.06658162,0.33138353,18.0,-1.0140079,2.287776,18.0,-1.0140079,37
0.9493976,0.10981234,-0.35518813,1.0831294,0.717024,1.1790445,-0.84111243,-0.20785126,0.1847542,-0.2044692,-0.33044803,-1.1260451,0.18375386,0.46378255,-0.7308744,-0.50044334,0.0,-0.51622224,2.2018101,0.0,-0.51622224,38
-0.58500594,-1.0920521,0.841771,1.0614438,0.2168251,0.21957976,1.4644059,-3.1491137,-2.2769644,0.39527267,2.1274114,-3.0963657,-2.437783,2.3719444,-0.27601704,-0.19069573,1.0,-0.51622224,-3.5457635,1.0,-0.51622224,39
0.7645357,-0.1678785,-0.5084316,-0.009201414,-0.26992908,0.058403462,-0.91001254,-0.34995174,-0.026829513,0.010500694,-0.45564434,-1.41777,0.04394186,-0.6402502,-0.41532597,-0.5130939,2.0,-0.51622224,0.649971,2.0,-0.51622224,40
1.2043558,-0.39155793,-0.98551995,0.18639717,0.21362852,0.69241005,-1.0218961,0.43486795,0.008239777,-0.5073594,-1.1971489,-0.010465553,0.10659979,-0.58629423,0.1875809,-0.32162046,3.0,-0.51622224,1.6446277,3.0,-0.51622224,41
1.010006,0.3401126,-0.5753507,0.62988967,-0.16335668,0.25145826,-0.14386252,0.5932923,0.033896897,-0.55011183,-0.6552443,-0.082490854,-0.12861957,-0.101311065,-0.43402347,-0.4140293,4.0,-0.51622224,1.4919316,4.0,-0.51622224,42
-0.70115465,0.03394883,-0.6065769,0.27793252,-1.0218469,-1.2741963,-0.512212,0.4583427,0.26928717,3.660883,-0.98685426,0.5187513,0.32547992,-0.6229375,0.00042409747,-0.40706488,5.0,-0.51622224,3.8385189,5.0,-0.51622224,43
-0.4433882,-0.28557575,-0.6489647,0.3811199,-0.4171101,-0.5736179,-0.34528118,0.61207867,-0.3661689,0.8339079,-0.8110878,-0.21990074,-0.3342879,-0.53911066,-0.21936989,-0.20184298,6.0,-0.51622224,1.1129123,6.0,-0.51622224,44
-0.25936112,-0.19556575,-0.40456465,0.10803904,0.13623604,0.13284796,-0.47964618,0.43563536,0.1575671,-0.38658977,-0.7030776,0.9562745,0.27268663,-0.09527216,-0.6716404,-0.2192741,7.0,-0.51622224,2.2202582,7.0,-0.51622224,45
0.047660805,1.1358992,0.565174,-1.736604,1.8054756,0.647961,0.45483992,-1.6622083,1.2881703,-0.57668114,1.2559708,0.54573,1.1763811,-0.51001495,1.033557,-0.19620748,8.0,-0.51622224,4.8763223,8.0,-0.51622224,46
-0.55636424,-0.8007757,-0.561742,0.26472184,-0.8833388,-1.3045822,-0.40338588,0.71797967,-0.4047536,1.2063613,-0.8106708,-0.07861329,-0.17562933,1.581323,-0.6751833,-0.5885611,9.0,-0.51622224,0.77830434,9.0,-0.51622224,47
